,Dateonmarket,Bathrooms,Bedrooms,City,Monthly Rental,SQFT,State,Zip_Code,streetAddress
81,2017-04-11,1.0,1.0, Staten Island ,1500.0,1950.0,NY ,10306.0,Rockland Ave
82,2017-04-22,1.0,1.0, Staten Island ,1100.0,3212.0,NY ,10306.0,Meadow Ln
83,2017-04-21,2.0,3.0, Staten Island ,1900.0,1300.0,NY ,10306.0,72 Stobe Ave
84,2017-04-21,3.0,3.0, Staten Island ,2600.0,816.0,NY ,10306.0,Cannon Blvd
85,2017-04-20,2.0,2.0, Staten Island ,1650.0,1500.0,NY ,10306.0,2305 Hylan Blvd
86,2017-04-20,3.0,3.0, Staten Island ,2800.0,2225.0,NY ,10306.0,Woodcutters Ln
87,2017-04-19,1.0,2.0, Staten Island ,1900.0,3300.0,NY ,10306.0,372 Oak Ave
88,2017-04-19,1.0,2.0, Staten Island ,1700.0,3300.0,NY ,10306.0,Oak Ave
89,2017-04-18,2.0,1.0, Staten Island ,1400.0,2070.0,NY ,10306.0,48 Behan Ct
90,2017-04-13,1.0,2.0, Staten Island ,1650.0,1000.0,NY ,10306.0,Weed Ave
91,2017-04-12,1.0,2.0, Staten Island ,1800.0,900.0,NY ,10306.0,278 Prescott Avenue # FL 1ST
92,2017-04-12,2.0,1.0, Staten Island ,1800.0,2000.0,NY ,10306.0,226 Cannon Blvd
93,2017-04-11,3.0,3.0, Staten Island ,2300.0,1900.0,NY ,10306.0,Finley Ave
94,2017-04-11,1.0,2.0, Staten Island ,1650.0,1064.0,NY ,10306.0,Weed Ave
95,2017-04-11,1.0,3.0, Staten Island ,2100.0,2016.0,NY ,10306.0,309 Adams Ave
96,2017-04-05,2.0,3.0, Staten Island ,2500.0,2063.0,NY ,10306.0,Finley Ave
97,2017-04-03,2.0,3.0, Staten Island ,2000.0,1200.0,NY ,10306.0,447 Adams Ave # 2
98,2017-04-01,2.0,3.0, Staten Island ,2300.0,1300.0,NY ,10306.0,80 Mill Rd # 2
99,2017-03-31,2.0,3.0, Staten Island ,1800.0,1400.0,NY ,10306.0,Guyon Ave
100,2017-03-27,1.0,1.0, Staten Island ,1400.0,600.0,NY ,10306.0,Arthur Kill Road #
101,2017-03-25,1.0,2.0, Staten Island ,1600.0,1854.0,NY ,10306.0,Cuba Ave
102,2017-03-23,1.0,1.0, Staten Island ,1350.0,800.0,NY ,10306.0,Greeley Ave
103,2016-12-28,1.0,3.0, Staten Island ,1800.0,1222.0,NY ,10306.0,Kelvin Avenue #
104,2016-12-28,2.0,3.0, Staten Island ,2600.0,2444.0,NY ,10306.0,Kelvin Ave
105,2017-04-19,1.0,1.0, Staten Island ,1000.0,4200.0,NY ,10307.0,Sprague Ave
106,2017-04-04,1.0,1.0, Staten Island ,1250.0,4200.0,NY ,10307.0,Adlers Ln
107,2017-04-04,1.0,1.0, Staten Island ,900.0,2012.0,NY ,10307.0,Sprague Ave
108,2017-03-18,1.0,1.0, Staten Island ,1025.0,3550.0,NY ,10307.0,Brehaut Ave
109,2017-02-07,1.0,1.0, Staten Island ,1200.0,2688.0,NY ,10307.0,39 Dell Ct
110,2016-10-26,5.0,5.0, Staten Island ,7500.0,4500.0,NY ,10307.0,5505 Arthur Kill Rd
111,2017-04-22,1.0,1.0, Staten Island ,950.0,500.0,NY ,10308.0,E Macon Avenue #
112,2017-04-22,1.0,1.0, Staten Island ,1200.0,500.0,NY ,10308.0,161 Elmwood Ave # 1
113,2017-04-16,1.0,1.0, Staten Island ,1050.0,2296.0,NY ,10308.0,Willow Wood Ln
114,2017-04-12,1.0,2.0, Staten Island ,1700.0,4248.0,NY ,10308.0,4 Edgewood Rd
